_id,prefix,suffix,oldPart,newPart,prevSent,nextSent,label
ObjectID(5527df92a21e5709f6e95f4d),"Scholars have","references to it in Icelandic legend.","especially been able to uncover","most notably uncovered","Amleth, as Hamlet is called in his version, probably derived from a story passed orally throughout Denmark and Scandinavia.","Although there is no existing copy of the Icelandic version of the story, Torfaeus, an early Icelandic scholar (born 1636), described parallels to the Icelandic story of Amloi in the Spanish story of the Ambales Saga.","Paraphrase"
ObjectID(5527de96a21e5709f6e95437),"At the beginning of Part I of the Age of Reason, Paine","","declares his individual and voluntary, ""profession of faith"":","lays out his personal creed:","right|thumb|An oil painting of Thomas Paine by Auguste Millière (1880), after an engraving by William Sharp, after a portrait by George Romney (1792)","","Factual"
ObjectID(5527dda3a21e4a5a1c93a183),"While all other Bay Area","the Pleasanton Math League filled 5 Stanford Math Tournament teams.","schools only sent 1 or 2 teams,","high schools sent two teams or less,","The Math Team combines teams with neighboring schools from Pleasanton, San Ramon, and Danville to compete as the Pleasanton Math League  at events such as the 2009 Stanford Math Tournament and the Stanford High School Puzzle Hunt.","","Factual"
ObjectID(5527d838a21edceb734d05cb),"He will need","to appoint Hilda Solis  (right center) as Secretary of Labor and Judd Gregg as Secretary of Commerce.","another one","to use Saxbe fixes","| award7 = multiple image| align = center | direction = horizontal | header = | header_align = left/right/center | footer = Barack Obama (left center)  used the Saxbe fix to appoint Hillary Rodham Clinton (left) as Secretary of State and Ken Salazar (center) as Secretary of the Interior.","| footer_align = left | image1 = Hclintonm cropped.jpg | width1 = 58 | caption1  = | image2 = BarackObama2005portrait.jpg | width2 = 42 | caption2  = |image3=Kensalazar.jpg|width3 =44 |image4=Hilda Solis.jpg|width4=41|image5=Judd Gregg.jpg|width5=48","Factual"
ObjectID(5527df61a21e3a63c2ac63c2),"Damageplan was a","band formed by Vinnie Paul and ""Dimebag"" Darrell Abbott, formerly of Pantera, after Pantera disbanded.","hard rock/Metalcore","fucking bad ass heavy metal","","They were joined by ex-Halford guitarist Pat Lachman on vocals, and Bob Zilla, playing bass.","Paraphrase"
ObjectID(5527e4a4a21edceb734d317a),"Skelton's show business career began in his teens as a circus clown and went on to vaudeville, Broadway,","","MGM films,  and radio.","films, radio, TV, clubs and casinos, while also  pursuing another career as a painter.","Richard Bernard ""Red"" Skelton (July 18, 1913 &ndash; September 17, 1997) was an American comedian who was most well known as a radio and television star from 1937 to 1971.","Early life","Factual"
ObjectID(5527f605a21e0e4c0a9e130f),"The blend of travel memoir and fiction opens with group's white hunter Philip Percival leaving","and giving control of the camp to the narrator (Ernest).","for home","to travel to his farm","By the middle of the book the threat evaporates and what follows is a description of an African safari.","The hunting scenes are foreshadowed as the narrator's wife Mary declares her intention to kill a large lblack-maned lion by Christmas.","X"
ObjectID(5527e144a21e5709f6e96641),"Hamlet is a tragedy by William Shakespeare, believed to have been written between","","1603 and 1606.","1599 and 1601.","thumb|right|The American actor Edwin Booth as Hamlet, c.&nbsp;1870","The play, set in Denmark, recounts how Prince Hamlet exacts revenge on his uncle Claudius, who has murdered Hamlet's father, the King, and then taken the throne and married Hamlet's mother.","Factual"
ObjectID(5527ec44a21edceb734d5a30),"Infinity Ward is planning to make the beta","","international, but there is no further info at this time.","international in early September, but no exact dates have been announced."," The beta will be available on Xbox Live starting in August 2007.","The beta was intended to be released on the official website at 5:00 PM PST on August 21st, Though Around 2000 people had gotten the code before the actual release. A countdown clock has since appeared on COD4's website,  , counting down to an August 27 release.","Factual"
ObjectID(5527eceda21e5709f6e9aa62),"","of Revelations.","They currently have no plans to tour upon the release","It has been said that Audioslave will begin touring in support","Many of these songs, as well as plenty of other original live material, can be legally downloaded at various places on the internet.","They may tour at a later date.","X"
ObjectID(5527eefaa21e0e4c0a9de89e),"After severing his connections with the bar he entered Ripon College","ordained a priest in 1891.","Cuddesdon, being","Cuddesdon and was","You must obey.""  With great reluctance he abandoned his previous plans.","Priesthood","Paraphrase"
ObjectID(5527d8f6a21e0e4c0a9d9f08),"Satan used this narrative technique to show the audience that the surreal","world"" of 300 was related from a subjective perspective.","""Frank Miller","""Osama Bin Laden","One major exception to the direct adaptation was the use of the character Dildos as a narrator.","By utilizing Dilios' gift of storytelling, Snyder is able to introduce fantasy elements into the film, explaining that ""Dilios is a guy who knows how not to wreck a good story with truth."" Snyder also added the sub-plot in which Queen Gorgo attempts to rally support for her husband.","Factual"
ObjectID(5527d9a0a21e4a5a1c9393d0),"Chapman pleaded guilty to","and was sentenced to 20 years to life.","second degree murder","taking one for the team,","","He is still in prison, 27 years since his arrest, having been denied parole five times.","Factual"
ObjectID(5527ec49a21e5709f6e99d05),"","port, designed for use with any compatible RS-422 serial device, was the only one on the computer.","The external printer","There was only one external serial","| accessdate = 2008-05-03","The PowerBook 100 did not include an external modem port, instead it offered an optional built-in 2400 baud modem for communications.cite web","X"
ObjectID(5527e297a21e0e4c0a9dca64),"","is captured by several members of the Flaming Dragon gang and taken to their heroin factory.","After Speedman accidentally kills a panda, he","The next day, Speedman","After Lazarus and Sandusky discover that Speedman is leading them in the wrong direction, the four actors, tired of walking through the jungle and hoping to be rescued, part ways from Speedman who leaves by himself to follow the film's scene listing.","Believing it to be the prisoner-of-war camp from the script, he continues to think he is being filmed.","Factual"
ObjectID(5527e4eca21e0e4c0a9dda7b),"Former ACS International striker","holds the record for most Premiership goals with 260.","Alan Shearer","Goh Seng Beng","Other titles players compete for include the top-scorer for a season.","Shearer finished among the top ten goal scorers in 10 out of his 14 seasons in the Premier League and won the top scorer title three times.","Factual"
ObjectID(5527ee2da21e5709f6e9b31c),"The military and political power of the domains was progressively eliminated,","transformed into prefectures, and many samurai converted to administrators.","fiefs being","and the domains themselves were soon","The emperor's residence was effectively transferred from Kyoto to Tokyo at the end of 1868.","The southern domains of Satsuma, Chōshū and Tosa, having played a decisive role in the victory, occupied most of the key posts in government for several decades following the conflict, a situation sometimes called the ""Meiji oligarchy"" and formalized with the institution of the Genrō.For example Saigō Takamori, Okubo Toshimichi, and Togo Heihachiro all came from Satsuma.","X"
ObjectID(5527ef93a21e5709f6e9bff4),"(TV.com) Other television shows which helped advance","include LA Law, The Practice and 7th Heaven.","understanding of and advocacy for Tourette's","accurate information","It was perhaps the first television representation of Tourette's syndrome, and its portrayal led to many undiagnosed people with tics recognizing their symptoms and getting a correct diagnosis.","However, even more television and film productions are not accurate representations of persons with Tourette's, and many of them have used misconceptions about coprolalia as a plot device or portrayed people with Tourette's as being dangerously out of control.","Factual"
ObjectID(5527de25a21e4a5a1c93a5bc),"A few groups have continued to use the white and red flag, though its display in Belarus has been restricted by the government of","","President Alexander Lukashenko.","Belarus due to its association with Nazi collaboration during the Second World War.","Several flags used by government officials and agencies were based on the national flag.","That flag is used in protests against the government and by the Belarusian diaspora.","Factual"
ObjectID(5527de22a21e5709f6e950f2),"","terms are used to describe female genital surgery and other such procedures.","weed weed","Varying terminology Different","In the past several decades, there have been many concentrated efforts by the World Health Organization (WHO) to end the practice of FGC. The United Nations has also declared February 6 as ""International Day Against Female Genital Mutilation"".","The terms female genital mutilation (FGM) and female genital cutting (FGC) are now dominant in the international community.","Other"
ObjectID(5527dedea21e0e4c0a9db693),"Although not as active in","still took an interest in the events surrounding him.","his business as he had previously been, he","routine business, Johnson","In January of 1806, Johnson's firm was wracked by a second fire, destroying the building and all of his stock.Chard (1975), 74.","For example, he spearheaded the efforts of the Booksellers of London and Westminster to appeal a new copyright law in 1808.","Paraphrase"
ObjectID(5527e8b7a21e5709f6e988f5),"Since he spent much time working in Ukraine, Khrushchev","impression of being a Ukrainian man.","produced an","gave off the","","He supported this image, e.g., by wearing  Ukrainian national shirts.","Paraphrase"
ObjectID(5527ed61a21e5709f6e9adcd),"This midget submarine then disappeared, its fate remaining a mystery until the 2006 discovery of the wreck by amateur scuba divers","","in (position?).","off Sydney's northern beaches.","21 officers and ratings lost their lives.","Following this, the five mother submarines attacked numerous merchant vessels in Eastern Australian waters, sinking three ships.","X"
ObjectID(5527da12a21e3a63c2ac4657),"As a child, she listened to recordings of Balkan","interested in the tradition.","village music that her parents played, becoming","folk music and became","Retrieved 10 May 2009.","As an undergraduate at Yale University, she sang and directed a Slavic chorus.Sarah Karush, ""Dracula yarn could be summer's hot novel"", San Jose Mercury News (2 June 2005).","Paraphrase"
ObjectID(5527e12fa21e3a63c2ac7171),"17  Liam Miller (on loan to","","Everton - 1 Year)","Leeds United) 33  Chris Eagles (on loan to Watford)","League Championship","Noted former players","Factual"
ObjectID(5527da60a21e3a63c2ac48e4),"Takemitsu was planning an opera and published a book laying out a scheme","with Kenzaburo Oe.Untranslated.","of it","for the opera","","Tōru Takemitsu and Kenzaburo Oe, Opera wo tsukuru, Tokyo: Iwanami Shoten, 1990. But his dream did not come true.","Paraphrase"
ObjectID(5527e6e2a21e5709f6e97f66),"Baylor University has","the medical school is in Dallas while the main campus and law school are in Waco.","all three units, but","two, though it operates","Neither the Texas A&M University System nor University of North Texas System has a law school, and the University of Houston System has no medical school.","Athletics","Paraphrase"
ObjectID(5527f120a21e3a63c2acaf29),"After being shot by a would-be assassin, Reagan","economy with large, across-the-board tax cuts.","implemented his tax policies, which called for stimulating the","achieved large tax cuts and an environment of","Reagan is credited with revitalizing America's economy, and its morale, after a period of stagflation.","Reagan's persuasive quotable speaking style earned him the sobriquet ""The Great Communicator,"" while his survival of a number of scandals earned him the nickname ""The Teflon President"".  The most serious scandal was the Iran-Contra Affair.","Factual"
ObjectID(5527eb65a21e5709f6e998c8),"","stable and one slightly radioactive isotopes.","Naturally occurring xenon is made of eight","Xenon is a dumb element","Isotopes","Beyond these stable forms, there are 20 unstable isotopes that have been studied.","X"
ObjectID(5527dac1a21e4a5a1c939731),"Chapman pleaded guilty to second degree murder and was sentenced to 20 years to life; he remains in prison, having been","parole.","denied all requests for","been repeatedly denied","The world mourns the death of John Lennon 8 December 1980 | publisher = Rolling Stone | issue = 951 | page = 140 |date=2004-06-24 | url =  | issn = 0035-791X | accessdate = 2007-11-16 |Yoko Ono, 9 December 1980","Lennon's body was cremated at Ferncliff Cemetery in Hartsdale, New York; his ashes were then kept by Yoko.","Paraphrase"
ObjectID(5527d613a21e4a5a1c937e02),"Yet within three years, it had made its way to","","Vienna and Brussels, London and New York.","Vienna, Brussels, London, New York City, and soon to Germany and Russia, also.","Carmen was then immediately dropped by the Opéra-Comique.","Five years later, it returned to Paris, where it was received rapturously and launched on its fabulously successful career.","Factual"
ObjectID(5527ee8fa21e5709f6e9b70e),"Copies of the Ptolemaic Decrees were erected in several","","fingers throught the world.","temple courtyards, as the decrees specified.","The Rosetta Stone is a well-known example from a series of decrees, the Ptolemaic Decrees, issued by the Hellenistic Ptolemaic dynasty, which ruled Egypt from 305 BC to 30 BC.  The series consists of the Decree of Canopus by Ptolemy III, Decree of Memphis, (as represented by the Memphis Stele) by Ptolemy IV, and the Rosetta Stone decree by Ptolemy V.","Modern-era Discovery","Factual"
ObjectID(5527e463a21e0e4c0a9dd6d6),"The first ever Premiership goal was scored by","United in a 2–1 win against Manchester United.","Karl Fletcher of Harchester","Brian Deane of Sheffield","The league held its first season in 1992–93 and was originally composed of 22 clubs.","Due to insistence by FIFA, the international governing body of football, that domestic leagues reduce the number of games clubs played, the number of clubs was reduced to 20 in 1995 when four teams were relegated from the league and only two teams were promoted.","Factual"
ObjectID(5527ebf4a21e3a63c2ac9892),"Reagan's most infamous foreign policy","a civil war of the Contra guerrillas against the Sandinista government in Nicaragua.","was supporting","decision was in illegally financing","Despite his frequent pronouncements that he advocated smaller and less intrusive government, Federal spending and bureaucracy increased in size during his administration; his increases in military and ""drug war"" spending were far larger than his cuts in social spending.","Reagan's determination to continue support for the Contras despite opposition in Congress led to the worst scandal of his presidency, the Iran-Contras Affair.","Factual"
ObjectID(5527edc3a21e5709f6e9aefa),"This midget submarine's fate","until 2006, when amateur scuba divers discovered the wreck off Sydney's northern beaches.","remained a mystery","was unknown","The third submarine attempted to torpedo the heavy cruiser USS Chicago, but instead sank the converted ferry HMAS Kuttabul, killing 21 sailors.","Immediately following the raid, the five Japanese fleet submarines that carried the midget submarines to Australia embarked on a campaign to disrupt merchant shipping in eastern Australian waters.","Paraphrase"
ObjectID(5527d664a21e5709f6e931fb),"Less than a month after its release, however, Lennon was shot dead on","in front of his apartment block in New York City.","December 8th","the night of December the 8th, 1980, by Mark David Chapman,","The retirement lasted until 1980, when he and Ono produced ""Double Fantasy"", practically a concept album dealing with their relationship.","In a vicious kind of irony, the two Beatles most committed to pacifism were both brutally attacked; George Harrison was stabbed by an intruder in his home two decades later.","Factual"
ObjectID(5527de7ba21e5709f6e95311),"By the time Part I of The Age of Reason was published in 1794, the","the French Revolution for many Britons and French alike.","shine had worn off","idealism and promise of the early days of","Historical context","The reign of terror had begun, Louis XVI and Marie Antoinette had both been tried and executed and Britain was at war with France.","X"
ObjectID(5527dfcaa21e3a63c2ac6789),"Knoll did not want it to","the Queen was on a hard, mechanical rig; ""we wanted her to have the appropriate 'float'"", he explained.","appear as if","seem that","To make the spine appear at the proper angle when her lower body was removed, Krige extended her neck forward so it appeared in line with the spine.","Using separate motion control passes on the set, Knoll shot the lower of the upper torso and the secondary sequence with Krige's entire body.","Paraphrase"
ObjectID(5527db54a21e0e4c0a9dabb2),"The eunuchs created three groups of secret agents in their favour; the East","Factory.","Factory and the West","Factory, the West Factory and the Inner","The Kumyiwei had spread a terror throughout their empire, but their powers were decimated as the eunuchs' influence at the court increased.","Both were no less brutal than the Kumyiwei and probably worse, since they were more of a tool for the eunuchs to eradicate their political opponents than any other things.","Factual"
ObjectID(5527d664a21e5709f6e931fe),"His first 'solo' album of popular music was Live Peace In Toronto, recorded in 1969 (prior to the breakup of the Beatles)","","in Toronto.","at the Rock 'n' Roll Festival in Toronto with a .","Whilst still a Beatle, Lennon and Ono recorded two albums of experimental and frequently unlistenable electronic music, Unfinished Music volumes 1 & 2 and Wedding Album.","He also recorded three singles, the sing-along ""Give Peace A Chance"", ""Cold Turkey"" (about his struggles with heroin) and ""Instant Karma"".","Factual"
ObjectID(5527db7da21e4a5a1c9398f1),"He emerged from retirement in","Double Fantasy with Ono.","November 1980, releasing","October 1980 with the single ""(Just Like) Starting Over"", followed the next month by","The following June he wrote ""Cookin' (In The Kitchen of Love)"" for Starr's Ringo's Rotogravure (1976), performing on the track in what would be his last recording session until 1980. He announced his temporary retirement from the music world in Tokyo in 1977, saying, ""we have basically decided, without any great decision, to be with our baby as much as we can until we feel we can take time off to indulge ourselves in creating things outside of the family."" During his career break he created several series of drawings, and drafted a book containing a mix of autobiographical material and what he termed ""mad stuff"", all of which would be published posthumously.","The album included songs written during his journey to Bermuda on a 43-foot sloop the previous June, and took its title from a species of freesia, seen in the Bermuda Botanical Gardens, whose name he regarded as a perfect description of his marriage to Ono. During the Double Fantasy sessions, Lennon also recorded sufficient material for a planned follow-up album.","Factual"
ObjectID(5527ec59a21e3a63c2ac9c3a),"At the Democratic National Convention, Mondale accepted the party nomination with a speech that is believed to have","","put the last nail in his political coffin.","constituted a self-inflicted mortal wound.","In the 1984 presidential election, he was re-elected in a landslide over Carter's Vice President Walter Mondale, winning 49 of 50 states and receiving nearly 60 percent of the popular vote.","In it he remarked ""Reagan will raise taxes, I will raise taxes.","Paraphrase"
ObjectID(5527e677a21edceb734d3f36),"","observations have suggested that water ice may be present in small quantities at Mercury's North Pole.","Recent radar","Ice on Mercury Radar","The original reason astronomers thought it was tidally locked was because whenever Mercury was best placed for observation, it was always at the same point in its 3:2 resonance, so showing the same face, which would be also the case if it was totally locked.","Such water, if it exists, is likely located at the permanently shaded bottoms of craters where it is deposited by comet impacts.","Factual"
ObjectID(5527f3f2a21e0e4c0a9e070a),"A supernova  (plural: supernovae or supernovas) is","explosion that creates an extremely luminous object that is initially made of plasma—an ionized form of matter.","a stellar","the temperature of an","(Chandra X-ray Observatory)","A supernova may briefly out-shine its entire host galaxy before fading from view over several weeks or months.","Factual"
ObjectID(5527db29a21e3a63c2ac5043),"","still use the term departamentos (departments) when referring to the regions of Peru, although this term is now obsolete.","Many persons","The area occupied by the city of Lima and its surroundings is called","There are 180 provinces and 1747 districts in Peru.","Geography","Factual"
ObjectID(5527e031a21edceb734d15d9),"During the summer, the pair were seen together with increasing","the entertainment media considered them a couple, dubbing them ""Brangelina"".","frequency and most of","frequency, and","They showed Pitt, Jolie and her son Maddox at a beach in Kenya.","Two months later, the highly-anticipated July 2005 issue of W magazine hit newsstands, featuring Pitt and Jolie posed as a married couple.","X"
ObjectID(5527e598a21e3a63c2ac80d1),"Manchester United Football Club is an English professional football club who play at","in Stretford, Greater Manchester.","a rubbish stadium","Old Trafford","","Having won a joint-record 18 league titles and a record 11 FA Cups, Manchester United is one of the most successful clubs in the history of English football, and are the reigning Premier League champions and Football League Cup holders.","Other"
ObjectID(5527d672a21e5709f6e9335e),"","believe that Lennon's murder was actually a political assassination.","Many people","Some conspiracy theorists","Trivia","The Assassination of John Lennon","Factual"
ObjectID(5527ee8da21edceb734d6898),"It was released in the","in September 1987, and was followed by an enormously successful world tour.","United Kingdom and United States","UK and US","A Momentary Lapse of Reason is the eleventh studio album by English progressive rock group Pink Floyd.","Guitarist David Gilmour had, in 1985, begun to assemble a group of musicians for what, at that point, would have been his third solo album.","Paraphrase"
ObjectID(5527e2fca21e0e4c0a9dcb1c),"Speedman asks to remain behind with the gang which he considers his ""family"", but he quickly returns with","in hot pursuit.","the murderous gang","Flaming Dragon","The four actors locate Tayback, Underwood, and Speedman and cross a bridge that Underwood has previously rigged to detonate to get to Underwood's helicopter.","Tayback detonates the bridge just in time for Speedman to reach safety, but as the helicopter takes off, the gang fires an RPG at their helicopter.","Factual"
ObjectID(5527de8ca21e0e4c0a9db483),"Deep wells","provide supplemental drinking water to Portland and nearby cities.","in the eastern part of the watershed","near the upper slough","Five percent of Oregon's population, about 158,000&nbsp;people, live in the slough watershed of about .","Those cities, the drainage districts, the county, and a regional government, Metro, share in managing aspects of the slough and its watershed.","Factual"
ObjectID(5527db04a21e3a63c2ac4e50),"Just three years before his","a woman fifty years his junior.","death and against his wishes, Peter ordered him to marry","death, Zotov married","From 1701, Zotov held a leading position in the Tsar's personal secretariat.","Zotov died in December 1717.","Factual"
ObjectID(5527de0ba21e4a5a1c93a467),"The cup stayed in the convent until 1882 when the nuns were short of funds and","","needed to sell.","wanted to sell it.","thumb|left|The stem and foot of the cup, showing the added bands","They decided they would get a better price in Paris than Spain, and the cup was entrusted to a priest who took it to Paris and approached several leading dealers and collectors.","X"
ObjectID(5527d596a21e3a63c2ac2b5a),"The name of an important female character (Darrell Waters) in her Malory Towers series was inspired by the name of her","Waters).","husband (Darrel","second husband (Kenneth Darrel","Some of the stories were said to have been inspired by the Cottingley Fairies incidents.","Enid claimed that she made a donation to charity for each letter that she did not reply to.","Factual"
ObjectID(5527e02ba21e3a63c2ac6a37),"In fact, the club ply their trade in","Greater Manchester area, but actually a city within it's own rights.","Salford, a city in the","Trafford, a separate metropolitan borough in","A little known fact about Manchester United is that they are not actually from the city of Manchester.","Players","X"
ObjectID(5527e26aa21edceb734d23dc),"","a lot of small-scale industries that provide steady employment to many of its citizens in small towns and villages.","India also has","There are also","Most of India's industrial regions are centered around the major cities.","While India receives only around 2 million foreign visitors a year, its tourism base is still an important aspect of its national income.","Paraphrase"
ObjectID(5527d928a21e4a5a1c93904b),"Queen guitarist Brian May considers Lennon","greatest rock star of all time next to Freddie Mercury","to be the","""to be probably","In 2004, Rolling Stone magazine ranked Lennon number 38 on its list of ""The Immortals: The Fifty Greatest Artists of All Time"" and ranked The Beatles at number 1.","Early years: 1940–1957","Factual"
ObjectID(5527d666a21e5709f6e93229),"Later that evening, at 10:50 p.m., Lennon and Ono were returning via limousine to their apartment building,","from recording sessions for their next album.","The Dakota,","""The Dakota"" 72nd Street & Central Park West, NYC,","Chapman remained in the vicinity of the Dakota Apartments for most of that day, probably sneaking into the carriage vestibule of the Dakota as a fireworks demonstration in central Park about 9am distracted the doorman and most in the street that evening.","Chapman was standing nearby as Lennon and Ono got out of the car.","X"
ObjectID(5527e326a21edceb734d28c9),"The 1971 war resulted in the","Pakistan and the independence of Bangladesh.","break-up of","surrender of East","It has unresolved territorial disputes with China, which escalated into the brief Sino-Indian War in 1962; and with Pakistan, which resulted in wars in 1947, 1965, 1971 and in 1999 war in Kargil.","India is a founding member of the Non-Aligned Movement and the United Nations (at the time as part of British India).","Other"
ObjectID(5527e3d4a21e5709f6e96e79),"","great boon to navigation and the globe came into widespread use on ships.""Introduction"", Tractatus de Globis, pp.","This was a","Such was their","xxxi.   The globes provided navigators and students with methods for finding the place of the sun, latitude, course, distance, amplitudes, azimuths, time and declination.","xlvi–xlvii. In the dedication of his 1595 book The Seamans Secretscitation|author=John Davis|authorlink=John Davis (English explorer)|title=The Seamans Secrets, Deuided into 2.","Paraphrase"
ObjectID(5527e3fda21e5709f6e970b9),"Adults average 1.3 meters (4 ft.) in length and weigh","","30 kilograms (75 lb) or more.","between 20 and 45 kilograms (44 to 99 lb.).","Physical characteristics","The largest known individual was about 46 kg.","Factual"
ObjectID(5527e491a21edceb734d3080),"These were two opposing christological positions; the Miaophysites claimed Christ had only","the Chalcedonians maintained that he had both human and divine natures.","the divine nature,","One nature out of Two,","In that time, the Christian faith was shaken by the contrast between Miaphysites and Chalcedonians.","The Council of Chalcedon, convoked by Emperor Marcian in 451, had ruled out Monophysitism, with the support of the pope in the West and many bishops in the East.","Factual"
ObjectID(5527ef42a21e0e4c0a9debbe),"Among these was Edward Stuart Talbot, Warden of","had become Vicar of Leeds Parish Church.","Keble College who, in 1888,","Keble, who in 1888","87 Lang identified with the Anglo-Catholic tradition of the Church of England, in part, he admitted, as a reaction against his evangelical upbringing in the Church of Scotland. His sympathies lay with the progressive wing of Anglo-Catholicism represented by the Lux Mundi essays, published in 1888 by a group of forward-looking Oxford theologians.","Talbot had contributed the essay entitled ""The Preparation for History in Christ"" in Lux Mundi.  Lang jumped at the offer of a curacy under Talbot, and arrived in Leeds in the autumn of 1890.","Paraphrase"
ObjectID(5527ecfaa21e5709f6e9ab41),"The band formed after the break-up of Rage Against the Machine and","","is currently on hiatus.","then dissolved itself once news of a Rage reunion had surfaced.","Audioslave was an alternative rock supergroup consisting of the former instrumentalists of Rage Against the Machine: Tom Morello (guitar), Tim Commerford (bass and back-up vocals), and Brad Wilk (drums), together with Chris Cornell (former lead vocalist & rythm guitarist of Soundgarden) as their lead singer.","History","X"
ObjectID(5527d605a21edceb734cfc00),"2009: Fantastic","Best picture and Best Actor (Dieter Laser) the horror category.","Fest 2009:","Fest, Austin TX -","Honours","2009: Best Movie at Screamfest'Human Centipede' Wins Best Film At Screamfest","Factual"
ObjectID(5527ec5ea21edceb734d5b6f),"After the credits roll the player is also given the chance to play through an airplane","","hostage situation mission, Epilogue.","hostage-situation epilogue mission, Mile High Club.","After the final cutscene, a short news message plays, mentioning ""nuclear missile tests"" in Central Russia and some ""leadership struggles"" between the Russian government the ultranationalist party, and then reports on the failed attempt to rescue a Russian cargo ship lost at sea (that the SAS infiltrated in the Prologue), which may indicate that the police actions in Russia were conducted in secret, away from public knowledge.","Characters","Factual"
ObjectID(5527d63ca21edceb734cfdab),"Once the surgery is complete, the doctor","to perform tasks such as fetching newspapers.","begins training his centipede","tries to train the trio","Lindsay attempts to escape, but is unsuccessful.","Katsuro, as the front part of the centipede, refuses to do as he is told, and the doctor beats him.","Factual"
ObjectID(5527db19a21e3a63c2ac4f4c),"He seems to have somehow absorbed the consciousnesses of the other two crewmembers, and is himself slowly mutating into","","some hideous creature.","a plant-like alien organism.","Carroon is abducted by a group of foreign agents whose government wants the information they believe he has obtained about travelling in space, but it is clear that there is something very wrong.","As the police chase the rapidly transforming Carroon across London, Quatermass analyzes samples of the mutated creature in the laboratory, and realizes that it has the ability to end all life on earth.","Factual"
ObjectID(5527ddd9a21e5709f6e95027),"Epidermal inclusion cysts may form and expand, particularly in","","the case of clitoral tissue trauma.","procedure affecting the clitoris.","These include urinary and reproductive tract infections, caused by obstructed flow of urine and menstrual blood, various forms of scarring and infertility.","These cysts can grow over time and can become infected, leading to further medical attention such as drainageBraddy, Cathleen M., Files, Julia A. (2007).","X"
ObjectID(5527ecafa21edceb734d5e7f),"Griggs is shot to death trying to pull Soap to safety; Gaz is","by Zakhaev.","shot in the head","executed with a shot to the head personally","Zakhaev himself arrives, accompanied by two soldiers.","He is on the verge of killing Soap, but is distracted by the arrival of a Russian Loyalist Mi-28 helicopter bearing Sgt.","Paraphrase"
ObjectID(5527e24fa21edceb734d2255),"In 1975, Prime Minister Indira Gandhi declared an Emergency, thereby freezing civil","","rights of Indian citizens.","rights; in that time thousands of political dissidents and protesting civilians were jailed without for years ‘’sans’’ trial.","Modern-day India","Emergency was finally revoked only in 1977.","Factual"
ObjectID(5527e6fba21e5709f6e9802f),"The Victory Bells—one large and one","1,200 pounds - hang in the east tower of the Administration Building.","small, which combine to weigh","small with a combined weight of","After Texas Tech victories and on special occasions the bells are rang by the Saddle Tramps or High Riders.","thumb|right|The ""Guns Up"" hand sign","Paraphrase"
ObjectID(5527e6f6a21e5709f6e97fe3),"The","is composed of 450 university students and performs at all home football games.","Goin’ Band","1999 Sudler Trophy-winning band","Housed with a partition directly adjacent to the Student Union is the School of Music, home of the Texas Tech Goin' Band from Raiderland.","","Factual"
ObjectID(5527dce6a21e3a63c2ac5b5a),"The Spanish Empire conquered the country in the 16th century and established a","most of its South American domains.","Viceroyalty with jurisdiction over","Viceroyalty, which included","Peruvian territory was home to the Norte Chico civilization, one of the oldest in the world, and to the Inca Empire, the largest state in Pre-Columbian America.","Since its independence in 1821, Peru has developed haltingly; political unrest and fiscal crisis have alternated with periods of stability and economic upswing.","Paraphrase"
ObjectID(5527dfc9a21edceb734d1198),"","","Broadcast Film Critics Association Awards: Best Acting Ensemble for Ocean's Twelve (2005)","Golden Globes: Best Performance by an Actor in a Motion Picture, Drama for Babel (2007)","Kids' Choice Awards: Favorite Voice from an Animated Movie for Sinbad: Legend of the Seven Seas (2004)","External links","Factual"
ObjectID(5527ead1a21edceb734d53cb),"","crossed Haiti two days later as a Category 2 hurricane, killing over 1,000 people.","The storm","On October 11, Hazel","Sufficiently organized to be deemed a hurricane, the original hurricane hunter  measurement of the wind soon increased to  at the centre, with a forward speed of . Hazel moved west and intensified from October 6 to October 9 in the Caribbean Sea without directly striking any land; at one point, it was moving ""practically parallel"" to the Venezuelan coast. After continuing on a westward track, it turned sharply to the north-northeast, to take aim for Haiti instead of Jamaica, contrary to meteorologists' predictions. As a whole, the storm proved to be very unpredictable, defying forecasts on multiple occasions.","After passing through the Windward Passage between islands of Cuba and Hispaniola, Hazel went northwest towards the southeastern part of the Bahamas and east coast of the United States, at a forward speed of about . Hurricanes are generally expected to lose power after going north of Florida, since the temperature of the water is lower; however, by late October 14, just before it reached the Carolinas, hurricane hunter planes found the hurricane's winds to have accelerated to , making it a Category 4 storm, and its forward speed had increased to .","Factual"
ObjectID(5527de0ba21e4a5a1c93a47b),").Lightbown; the scene is of course not visible to visitors, but there is a photo","and Dalton's Figure 3 has a drawing.","in his book,","on the "",","She holds a book inscribed Miserere mei Deus sancte (""Have pity on me, Holy God""), while a banderole says In corde meo abscondi eloquia tua ut non peccem tibi (""Thy words have I hid in my heart that I might not sin against thee"".","All biblical quotations are given in Latin and English per Lightbown (English version unknown), while the links are to the Authorized Version (aka ""KJV"").","Other"
ObjectID(5527e2a0a21edceb734d25d8),"It is","fastest growing economy as of 2004.","the world's second","one of the","The Indian economy is the fourth largest in the world in GDP, measured in terms of purchasing power parity.","India, the world's largest liberal democracy, has also emerged as an important regional power, possessing one of the world's largest military forces and a declared nuclear weapons capability.","Factual"
